model,run_id,question,generated_answer,correctness,completeness,category,difficulty
gpt-4o,019e6903-41e0-7063-bc8f-865fa0e5c440,What happens if the supplier fails to meet the SLA uptime target?,"If the supplier fails to meet the SLA uptime target of 99.5%, the buyer will receive a service credit. For each full percentage point below 99.5%, the buyer will receive a service credit equal to 5% of the monthly fee for that service. The maximum credit that can be received is 25% of the monthly fee. These credits are the sole remedy for breaches of the SLA.",1.0,1.0,risk,medium
gpt-4o,019e6903-3fd0-7673-ad76-a162431d4b7d,Is the supplier required to maintain cyber insurance?,"Yes, the supplier is required to maintain cyber liability and data breach insurance with a minimum limit of EUR 5,000,000 per claim.",1.0,1.0,risk,medium
gpt-4o,019e6903-3db8-7f12-91a9-94e559480d94,Is the supplier required to comply with anti-bribery laws?,"Yes, the supplier is required to comply with all applicable anti-bribery and anti-corruption laws and regulations, including the UK Bribery Act 2010 and the US Foreign Corrupt Practices Act, as stated in Section 19 of the contract.",1.0,1.0,compliance,easy
gpt-4o,019e6903-3bc0-7552-853c-41dca34476e1,What audit rights does the buyer have over the supplier?,"The buyer has the right to audit the supplier's books, records, systems, and facilities relevant to the services and the agreement. This audit can be conducted by the buyer or an appointed third-party auditor. The buyer must provide 10 business days' written notice before conducting the audit. Audits can be conducted no more than once per calendar year unless there is a reasonable suspicion of a material breach, in which case additional audits may be conducted. The supplier is required to provide reasonable cooperation and access for the audit.",1.0,1.0,compliance,medium
gpt-4o,019e6903-3b89-76f1-99cd-69ff08e51079,Is the supplier obligated to report ethical violations in its supply chain?,"Yes, the supplier is obligated to report ethical violations in its supply chain. According to Clause 7 of the Supplier Code of Conduct, the supplier must promptly notify the buyer of any identified or suspected violations of human rights, forced labour, child labour, or environmental regulations within its supply chain within five business days of becoming aware of the violation.",1.0,1.0,compliance,medium
gpt-4o,019e6903-3ac4-73e3-bff7-0ece7566ff3b,What is the notice period required for contract termination for convenience?,The notice period required for contract termination for convenience is ninety (90) days.,0.0,0.7,compliance,easy
gpt-4o,019e6903-3965-7aa1-bc2c-d502edaba67b,Is the supplier acting as a data processor or data controller under GDPR?,The supplier is acting as a Data Processor under GDPR.,0.0,0.4,data-privacy,easy
gpt-4o,019e6903-3749-7cc0-ba23-cde6082fa0a3,Where is the supplier allowed to store and process personal data?,"The supplier is allowed to store and process personal data exclusively within the European Economic Area (EEA), unless the buyer provides prior written consent for transfer to a third country.",1.0,0.7,data-privacy,medium
gpt-4o,019e6903-3724-7b21-94ff-47ace9ebbe24,How long can the supplier retain personal data after contract termination?,"The supplier can retain personal data for up to thirty (30) days after contract termination, unless applicable law requires a longer retention period. In such cases, the supplier must inform the buyer of the legal requirement prior to retaining the data beyond the initial thirty days.",1.0,0.7,data-privacy,medium
gpt-4o,019e6903-3395-7f21-8ad4-fe7c4d38fc15,What must the supplier do if it experiences a personal data breach?,"If the supplier experiences a personal data breach, it must notify the Buyer without undue delay and, where feasible, no later than twenty-four (24) hours after becoming aware of the breach. The notification must include the nature of the breach, categories and approximate number of data subjects affected, likely consequences, and measures taken or proposed.",1.0,1.0,data-privacy,hard
gpt-4o,019e6903-3333-7df0-a0b2-2c28d2e2b814,Can the supplier appoint sub-processors without the buyer's knowledge?,"No, the supplier cannot appoint sub-processors without the buyer's knowledge. The supplier is required to give the buyer at least 14 days' prior written notice before engaging any new sub-processor.",1.0,0.7,data-privacy,hard
gpt-4o,019e6903-3108-75b0-8e43-88d2bb6513af,What is the contract's governing law and jurisdiction?,"The contract's governing law is the laws of England and Wales, and the jurisdiction is the exclusive jurisdiction of the courts of England and Wales.",1.0,1.0,contractual,easy
gpt-4o,019e6903-30b0-7db0-a0b9-d8447cc5089c,Does the contract include an automatic renewal clause?,"Yes, the contract includes an automatic renewal clause. It states that the agreement will automatically renew for successive one-year periods unless either party provides written notice of non-renewal at least sixty (60) days before the end of the current term.",1.0,1.0,contractual,medium
gpt-4o,019e6903-2eb6-7802-a406-28d1278d0cb2,Can the supplier unilaterally change the pricing during the contract term?,"No, the supplier cannot unilaterally change the pricing during the contract term. Price adjustments are only allowed at the start of each renewal term and must be in accordance with the percentage change in the Consumer Price Index (CPI) for the preceding 12-month period. Additionally, the supplier must provide the buyer with at least 90 days' written notice prior to the renewal date for any price increase.",1.0,1.0,contractual,hard
gpt-4o,019e6903-2da7-7dc3-9f3c-2296077e6cf3,What intellectual property does the buyer own from work produced under the contract?,"The buyer owns all deliverables, reports, software, and other materials created specifically for the buyer under the agreement, referred to as 'Buyer Works'. These are considered works made for hire and are the exclusive property of the buyer upon creation.",1.0,1.0,contractual,medium
gpt-4o,019e6903-29b4-7453-b7d4-2f8f3d70ec1e,What are the payment terms under the contract?,"The payment terms under the contract are as follows: The supplier will issue invoices monthly in arrears. The buyer is required to pay each undisputed invoice within thirty (30) days of receipt. If payments are late, they will accrue interest at a rate of 2% above the Bank of England base rate per annum, calculated daily from the due date until the actual payment is made.",1.0,1.0,financial,easy
gpt-4o,019e6903-29b4-75f0-9072-21b71ae098a9,Is the buyer allowed to withhold payment for disputed invoices?,"Yes, the buyer is allowed to withhold payment for disputed invoices, provided that they comply with the conditions outlined in Section 6.3: they must pay all undisputed amounts by the due date, notify the supplier in writing of the disputed amount and reasons within 10 business days of receiving the invoice, and cooperate in good faith to resolve the dispute promptly.",1.0,1.0,financial,medium
gpt-4o,019e6903-29b3-7fd1-ad5d-df05e0bcc0fd,Does the contract include a most-favoured-nation (MFN) pricing clause?,"Yes, the contract includes a most-favoured-nation (MFN) pricing clause. Section 6.5 specifies that the supplier warrants the fees charged to the buyer are no greater than those charged to any other customer for substantially similar services and volumes. If lower fees are offered to another customer, the supplier must notify the buyer and apply equivalent pricing to the buyer's account.",1.0,1.0,financial,hard
